clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
1432,5,2.5,5.0,2.5,Lym,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9709505944517833,1.0,3,2.5,2,-0.946064946378401,-2.818634061371064,-0.8175558616628447,0.9580874440698053,0.6644873321056366,1.2256226626869429,2.1641678894539753,-0.13577494347401842,0.3765,0.40925,0.10325000000000001,0.9580874440698053
1441,2,5.0,5.0,0.0,Mast,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.9062015209340153,-2.2775360528679043,-0.7904539994652486,0.0,1.0,0.9374720206896769,2.2775360528679043,0.0,0.68925,0.452,0.5425,0.0
1449,3,2.5,2.5,0.0,Mono,0.9999999999972693,0.9999999999972693,3,3,0.6666666666666667,,0.9999999999972693,1.0,3,2.5,3,-0.9629543442193187,-2.643091332095994,-1.2351106456256626,0.9095313213982342,0.6523545781771342,1.0733188116699528,2.4396995587578125,0.15065633319395622,0.371,0.46416666666666667,0.30783333333333335,0.9095313213982342
1483,2,2.5,5.0,2.5,Unk_2,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-0.999034579787798,-3.9352157648036448,-1.6678344804910252,0.3108940526237822,0.7461465001106262,1.140131693694409,4.498611759432261,0.384705329077163,0.16649999999999998,0.631,0.41350000000000003,0.6217881052475644
1501,2,2.5,5.0,2.5,Ery/Meg,0.0,0.0,1,1,0.0,,0.0,0.0,1,2.5,2,-1.4350817553696924,-3.0176272709818033,-1.6951270304342114,0.36636985959172497,0.7755731046199799,1.0435838220807527,3.0603358614877303,0.341761951372238,0.10350000000000001,0.439,0.4075,0.7327397191834499
1509,2,2.5,5.0,2.5,Unk_2,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-0.7979793429580181,-1.9353819044940683,-1.0784410890973524,0.4861829139922515,0.9122993350028992,1.4175625581450277,2.581361640645368,0.45754753872641635,0.671,0.73,0.6745,0.972365827984503
1514,2,2.5,2.5,0.0,Lym,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.45828657803347,-3.698126045916485,-1.45828657803347,0.8625487954858941,0.5742294937372208,1.064799752886961,2.8011490240834114,-0.2007869369075299,0.16025,0.35775,0.1965,0.8625487954858941
1519,2,2.5,5.0,2.5,MPP,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-0.9296526533860578,-1.7525969364881748,-2.7051789164277604,0.4837177170685467,0.8532459437847137,1.1448459742102965,1.8453606431471354,0.26984636001677553,0.45899999999999996,0.5405,0.46549999999999997,0.9674354341370934
1535,2,2.5,5.0,2.5,Lym,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-0.9473753778116155,-2.0275784259607477,-1.1789517350230125,0.49041738264026197,0.8488470017910004,1.1760319624656401,1.8876808337670328,0.017881824448763992,0.491,0.47050000000000003,0.39999999999999997,0.9808347652805239
1543,2,2.5,2.5,0.0,MEP,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.928474955285317,-3.753918630236021,-1.8648066852093077,0.771563399686019,0.6266561597585678,1.2086125185910794,4.462125959148466,0.610344899991247,0.3945,0.61575,0.4615,0.771563399686019
