stage,stage_num,cell_type,devvcell_system,perturbation,rescuer_perturbation,source_response_norm,rescuer_response_norm,optimal_rescuer_dose,minimal_rescue_cost,rescue_fraction,source_transfer_confidence,rescuer_transfer_confidence,response_recovery_class,recovery_cost,off_manifold_score
Theiler stage 22,22.0,cerebral cortex GABAergic interneuron,neural,KO_PAX3,RA_hGas_120h,0.6051829448371583,1.053751132354861,0.028812970768806234,0.6044208499547492,0.001259280171244992,0.6488842343861195,0.6488842343861195,reversible_response,1.0805104790662001,1.0805104790662001
Theiler stage 27,27.0,amacrine cell,neural,KO_PAX3,RA_hGas_120h,0.6052602483469052,1.053885734067658,0.028812970768806206,0.604498056117719,0.001259280171245103,0.6489671201137583,0.6489671201137583,reversible_response,1.0806484989047673,1.0806484989047673
Theiler stage 24,24.0,chondrocyte,mesoderm,KO_PAX3,RA_hGas_120h,0.6057521873288771,1.0547423035789518,0.028812970768806213,0.6049893756106856,0.001259280171245103,0.6494945828461516,0.6494945828461516,reversible_response,1.079423112788985,1.0794231127889853
Theiler stage 22,22.0,GABAergic neuron,neural,KO_PAX3,RA_hGas_120h,0.6060109970263684,1.0551929458419609,0.02881297076880623,0.6052478593942566,0.001259280171245103,0.6497720816319997,0.6497720816319997,reversible_response,1.0819889064992403,1.066012477215576
Theiler stage 23,23.0,olfactory ensheathing cell,neural,KO_TBX6,RA_hGas_120h,0.6097715627085456,0.725101673180335,0.09108557695184481,0.6061841670506481,0.005883179664795457,0.44650679805416166,0.44650679805416166,reversible_response,1.1678376196017433,1.1678376196017435
Theiler stage 21,21.0,spiral ganglion neuron,neural,KO_TBX6,RA_hGas_120h,0.60989799881088,0.7252520229751762,0.09108557695184473,0.6063098593066766,0.005883179664795235,0.446599381215897,0.446599381215897,reversible_response,1.1680797706724269,1.1680797706724269
Theiler stage 23,23.0,spinal cord motor neuron,neural,KO_TBX6,RA_hGas_120h,0.6103260909225926,0.7257610829665919,0.09108557695184483,0.6067354328755827,0.005883179664795346,0.4469128527678071,0.4469128527678071,reversible_response,1.1688996548770818,1.1688996548770818
Theiler stage 25,25.0,adipose macrophage,hematopoietic,KO_PAX3,RA_hGas_120h,0.6079179925929066,1.0585134272844379,0.028812970768806213,0.6071524535190912,0.001259280171245103,0.651816784591208,0.651816784591208,reversible_response,1.0853937094778365,1.0846491641724731
Theiler stage 16,16.0,glutamatergic neuron,neural,KO_PAX3,RA_hGas_120h,0.608211682972358,1.0590248041706318,0.028812970768806234,0.6074457740600713,0.001259280171245103,0.6521316828523744,0.6521316828523744,reversible_response,1.085422213992356,1.0734268902491395
Theiler stage 18,18.0,melanocyte,neural,KO_PAX3,RA_hGas_120h,0.6085815954088579,1.0596688997324109,0.028812970768806224,0.6078152206731748,0.001259280171245103,0.6525283072949433,0.6525283072949433,reversible_response,1.074349272824529,1.074349272824529
Theiler stage 25,25.0,hematopoietic stem cell,hematopoietic,KO_TBX6,RA_hGas_120h,0.611634702995002,0.7273172014563314,0.09108557695184476,0.6080363461480587,0.005883179664795346,0.4478710873298637,0.4478710873298637,reversible_response,1.171405915419696,1.171405915419696
Theiler stage 25,25.0,glutamatergic neuron,neural,RA_hGas_120h,KO_TBX6,0.6117170734863843,0.5144212041316343,0.12879917896139392,0.608118232039041,0.005883179664795346,0.37668625228718505,0.37668625228718505,reversible_response,1.0448531437401725,1.0448531437401725
Theiler stage 24,24.0,neural progenitor cell,neural,KO_TBX6,RA_hGas_120h,0.6122607088004723,0.7280616078614955,0.0910855769518448,0.6086586690489043,0.005883179664795235,0.44832948169401265,0.44832948169401265,reversible_response,1.1726048449441726,1.1726048449441726
Theiler stage 26,26.0,retinal progenitor cell,neural,KO_PAX3,RA_hGas_120h,0.6094989001186006,1.0612661206799807,0.02881297076880624,0.6087313702392857,0.001259280171244881,0.6535118521376361,0.6535118521376361,reversible_response,1.0882163057894474,1.082781855300164
Theiler stage 20,20.0,hematopoietic stem cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.6097215116760303,1.0616537343474146,0.028812970768806234,0.6089537014663952,0.001259280171244992,0.6537505388541744,0.6537505388541744,reversible_response,1.0886137626619783,1.0886137626619783
Theiler stage 25,25.0,central nervous system macrophage,hematopoietic,KO_TBX6,RA_hGas_120h,0.6130152481082836,0.7289588581565798,0.09108557695184476,0.6094087692664034,0.005883179664795346,0.44888199504645604,0.44888199504645604,reversible_response,1.1740499424905653,1.1709110679582364
Theiler stage 23,23.0,olfactory receptor cell,neural,KO_TBX6,RA_hGas_120h,0.6131620010050756,0.7291333673949826,0.09108557695184476,0.6095546587895373,0.005883179664795346,0.44898945523328526,0.44898945523328526,reversible_response,1.174331004390038,1.174331004390038
Theiler stage 26,26.0,myelinating Schwann cell,neural,KO_PAX3,RA_hGas_120h,0.6103529269932351,1.062753161572135,0.028812970768806217,0.609584321654811,0.001259280171245214,0.6544275497451444,0.6544275497451444,reversible_response,1.0897411091490246,1.0897411091490246
Theiler stage 18,18.0,erythroid progenitor cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.610447048615102,1.0629170471648597,0.028812970768806206,0.609678324751186,0.001259280171244992,0.6545284680493785,0.6545284680493785,reversible_response,1.0899091565132168,1.0899091565132168
Theiler stage 14,14.0,megakaryocyte,hematopoietic,KO_PAX3,RA_hGas_120h,0.6110124873473484,1.0639015952415447,0.02881297076880621,0.6102430514376487,0.001259280171245103,0.6551347380739984,0.6551347380739984,reversible_response,1.087717928365384,1.087717928365384
Theiler stage 24,24.0,melanocyte,neural,KO_PAX3,RA_hGas_120h,0.6112035654806351,1.0642343025675474,0.028812970768806234,0.610433888950031,0.001259280171245214,0.6553396142842145,0.6553396142842145,reversible_response,1.0878906395607735,1.0833482831336183
Theiler stage 20,20.0,lateral mesodermal cell,mesoderm,KO_PAX3,RA_hGas_120h,0.6117434000411728,1.065174268381693,0.028812970768806213,0.6109730437076109,0.001259280171245103,0.6559184312163472,0.6559184312163472,reversible_response,1.0922236984420197,1.0922236984420197
Theiler stage 27,27.0,thalamic excitatory neuron,neural,KO_TBX6,RA_hGas_120h,0.6150449772979221,0.7313724833918603,0.09108557695184481,0.6114265571945483,0.005883179664795568,0.4503682694757799,0.4503682694757799,reversible_response,1.1779372902290108,1.1779372902290108
Theiler stage 16,16.0,cerebral cortex GABAergic interneuron,neural,KO_PAX3,RA_hGas_120h,0.612335753428935,1.0662056805495896,0.02881297076880622,0.6115646511564976,0.001259280171244881,0.6565535594495255,0.6565535594495255,reversible_response,1.0932813026726869,1.093281302672687
Theiler stage 24,24.0,GABAergic neuron,neural,KO_TBX6,RA_hGas_120h,0.6158010428270762,0.732271548572579,0.09108557695184483,0.6121781746543562,0.005883179664795235,0.4509219004077345,0.4509219004077345,reversible_response,1.1793853108023358,1.1793853108023358
Theiler stage 20,20.0,olfactory receptor cell,neural,KO_TBX6,RA_hGas_120h,0.6158741760590938,0.732358513974287,0.0910855769518448,0.6122508776304304,0.005883179664795235,0.4509754524053294,0.4509754524053294,reversible_response,1.1795253759428184,1.1795253759428186
Theiler stage 24,24.0,thalamic excitatory neuron,neural,RA_hGas_120h,KO_TBX6,0.6167697091240778,0.5186701993312731,0.12879917896139395,0.6131411421134974,0.005883179664795235,0.3797975899709416,0.3797975899709416,reversible_response,1.0534833789568052,1.0534833789568052
Theiler stage 24,24.0,Cajal-Retzius cell,neural,RA_hGas_120h,KO_TBX6,0.6174727927199243,0.5192614548735113,0.12879917896139395,0.61384008934223,0.005883179664795346,0.38023053836529414,0.38023053836529414,reversible_response,1.054684292152256,1.054684292152256
Theiler stage 24,24.0,fibroblast,mesoderm,KO_PAX3,RA_hGas_120h,0.6149128095883469,1.0706928787915246,0.028812970768806203,0.6141384620801876,0.001259280171245214,0.6593167092164444,0.6593167092164444,reversible_response,1.0978824504894613,1.088769655720059
Theiler stage 20,20.0,chondrocyte,mesoderm,KO_PAX3,RA_hGas_120h,0.6152574080180776,1.071292897329116,0.028812970768806224,0.6144826265639488,0.001259280171245103,0.659686191684769,0.659686191684769,reversible_response,1.0984977061201269,1.0984977061201269
Theiler stage 22,22.0,melanocyte,neural,KO_PAX3,RA_hGas_120h,0.6158804430541363,1.0723777327170667,0.028812970768806234,0.6151048770243406,0.001259280171244992,0.6603542171402409,0.6603542171402409,reversible_response,1.0913846878489402,1.089530877418724
Theiler stage 18,18.0,chondrocyte,mesoderm,KO_PAX3,RA_hGas_120h,0.6159580974858706,1.0725129454590492,0.028812970768806238,0.6151824336673888,0.001259280171245103,0.6604374791305407,0.6604374791305407,reversible_response,1.0918702550734265,1.0855584807387724
