perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_latent_01,response_latent_02,response_latent_03,response_latent_04,response_latent_05,response_latent_06
Dach2,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8474647051696235,0.8474647051696235,rdeg_proxy_quick,-0.0016707392153329996,0.8474647051696235,-0.18266535659595373,0.1091598477300484,0.27783008833503436,0.3210260240224543
Hoxd4,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.8238509868068692,0.8238509868068692,rdeg_proxy_quick,-0.0014826637564692526,0.8238509868068692,-0.0,0.10652865662699075,0.2587248771631885,0.31249140332870806
Rorb,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,0.7814592097188756,0.7814592097188756,rdeg_proxy_quick,-0.001142703706864239,0.7814592097188756,-0.0,0.10180509445845631,0.1975614372883124,0.2971698968881752
Satb2,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.6607747392326672,0.6607747392326672,rdeg_proxy_quick,-0.001250557762105008,0.6607747392326672,-0.04855811060098744,0.18675891558045474,0.4206654303282767,0.35195260038862153
Rfx4,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.570789237339086,0.570789237339086,rdeg_proxy_quick,-0.0014361394266597734,0.570789237339086,-0.08368094157019161,0.17277245845907388,0.3781238506921752,0.3154697677938454
Eya1,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.5560850043031436,0.5560850043031436,rdeg_proxy_quick,-0.000599037531064812,0.5560850043031436,-0.013556425831946281,0.1704869777923858,0.22447193024788376,0.3095082288681717
Lef1,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.5427433436884228,0.5427433436884228,rdeg_proxy_quick,-0.00068673537229185,0.5427433436884228,-0.0,0.16841328191706037,0.24245047199761466,0.3040991178391661
Prox1,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.513921421227924,0.513921421227924,rdeg_proxy_quick,-0.0005482618580572244,0.513921421227924,-0.0,0.16393348712604763,0.21213488509829154,0.2924138424330286
Eya4,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.48631700659987287,0.48631700659987287,rdeg_proxy_quick,-0.0008090262708719624,0.48631700659987287,-0.0,0.15964292972033742,0.29627998293675634,0.28122218137030564
Glis3,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4770413114527401,0.4770413114527401,rdeg_proxy_quick,-0.0006296883278991795,0.4770413114527401,-0.0,0.15820120733488247,0.23127831962194648,0.2774615351980675
Pax3,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4749589264854473,0.4749589264854473,rdeg_proxy_quick,-0.0011300200223922539,0.4749589264854473,-0.0,0.15787754199499593,0.3066900813556592,0.27661727361635774
Nrg1,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4748024481580986,0.4748024481580986,rdeg_proxy_quick,-0.0008171163685619549,0.4748024481580986,-0.0,0.15785322055020945,0.2528872282657293,0.2765538325897341
Zbtb16,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4552841101774057,0.4552841101774057,rdeg_proxy_quick,-0.000836041668662781,0.4552841101774057,-0.0,0.15481948298690254,0.28218439712602417,0.268640510531254
Satb1,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4474566938513909,0.4474566938513909,rdeg_proxy_quick,-0.0008063235576264328,0.4474566938513909,-0.079711634029075,0.15360286674860593,0.28251261215208123,0.2654670402114537
Otx2,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4470221495249219,0.4470221495249219,rdeg_proxy_quick,-0.0007419478485826259,0.4470221495249219,-0.0,0.15353532547293816,0.2644081536878877,0.26529086285416864
Prdm16,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.44274011295891214,0.44274011295891214,rdeg_proxy_quick,-0.0006074341235216415,0.44274011295891214,-0.0,0.1528697680268786,0.22859620690280696,0.2635547962666066
Dach2,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.4388717302638219,0.4388717302638219,rdeg_proxy_quick,-0.0008996288082562304,0.4388717302638219,-0.18266535659595373,0.1522685048505287,0.27783008833503436,0.2619864374164842
Hoxd4,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.41525801190106776,0.41525801190106776,rdeg_proxy_quick,-0.0007983574073295975,0.41525801190106776,-0.0,0.14859822183374216,0.2587248771631885,0.2524127248090091
Rorb,RDEG-derived,Theiler stage 20,20,neural_response_axis,rdeg_proxy,1.0,0.3728662348130741,0.3728662348130741,rdeg_proxy_quick,-0.0006153019960038209,0.3728662348130741,-0.0,0.1420092629452142,0.1975614372883124,0.23522582164848274
Satb2,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.8686559387340199,0.8686559387340199,rdeg_proxy_quick,-0.001250557762105008,0.8686559387340199,-0.04855811060098744,0.2302908376664917,0.4206654303282767,0.4474548223499967
Rfx4,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.7786704368404389,0.7786704368404389,rdeg_proxy_quick,-0.0014361394266597734,0.7786704368404389,-0.08368094157019161,0.21304425580206823,0.3781238506921752,0.40771186501217793
Eya1,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.7639662038044963,0.7639662038044963,rdeg_proxy_quick,-0.000599037531064812,0.7639662038044963,-0.013556425831946281,0.21022604894128022,0.22447193024788376,0.4012175998924043
Lef1,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.7506245431897757,0.7506245431897757,rdeg_proxy_quick,-0.00068673537229185,0.7506245431897757,-0.0,0.20766899211371198,0.24245047199761466,0.3953251279111559
Prox1,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.7218026207292768,0.7218026207292768,rdeg_proxy_quick,-0.0005482618580572244,0.7218026207292768,-0.0,0.20214499508369133,0.21213488509829154,0.3825956502660105
Eya4,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.6941982061012257,0.6941982061012257,rdeg_proxy_quick,-0.0008090262708719624,0.6941982061012257,-0.0,0.19685434507136826,0.29627998293675634,0.3704038965966747
Glis3,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.6849225109540928,0.6849225109540928,rdeg_proxy_quick,-0.0006296883278991795,0.6849225109540928,-0.0,0.19507656940375404,0.23127831962194648,0.3663071971422772
Pax3,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.6828401259868001,0.6828401259868001,rdeg_proxy_quick,-0.0011300200223922539,0.6828401259868001,-0.0,0.194677460413351,0.3066900813556592,0.36538749191005104
Nrg1,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.6826836476594513,0.6826836476594513,rdeg_proxy_quick,-0.0008171163685619549,0.6826836476594513,-0.0,0.19464746984569467,0.2528872282657293,0.36531838176055753
Zbtb16,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.6631653096787585,0.6631653096787585,rdeg_proxy_quick,-0.000836041668662781,0.6631653096787585,-0.0,0.19090659374056823,0.28218439712602417,0.3566979211602579
Satb1,RDEG-derived,Theiler stage 21,21,neural_response_axis,rdeg_proxy,1.0,0.6553378933527437,0.6553378933527437,rdeg_proxy_quick,-0.0008063235576264328,0.6553378933527437,-0.079711634029075,0.18940639455722438,0.28251261215208123,0.3532408678954103
