perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_amplitude,recovery_cost,developmental_delay_score,fate_deflection_index,off_manifold_score,off_manifold_threshold,response_recovery_class
Eya4,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.0271042216034734,1.0271042216034734,rdeg_proxy_quick,1.1328857280274585,1.1328857280274585,0.09994257795780959,-0.16744888540663427,1.1328857280274585,0.7523741847328391,off_manifold_collapse
Glis3,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.0178285264563405,1.0178285264563405,rdeg_proxy_quick,1.1079887026569597,1.1079887026569597,0.10136016565576611,-0.22057530632851607,1.1079887026569597,0.7523741847328391,off_manifold_collapse
Pax3,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.0157461414890478,1.0157461414890478,rdeg_proxy_quick,1.1240158632091364,1.1240158632091366,0.09983689846508859,-0.16051965519214995,1.1240158632091366,0.7523741847328391,off_manifold_collapse
Nrg1,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,1.015589663161699,1.015589663161699,rdeg_proxy_quick,1.1103794167066592,1.1103794167066594,0.10098219609780967,-0.20383821843386873,1.1103794167066594,0.7523741847328391,off_manifold_collapse
Zbtb16,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,0.9960713251810062,0.9960713251810062,rdeg_proxy_quick,1.097322875549562,1.0973228755495623,0.10068072576428144,-0.18320385160310115,1.0973228755495623,0.7523741847328391,off_manifold_collapse
Satb1,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,0.9882439088549915,0.9882439088549915,rdeg_proxy_quick,1.0922696385264423,1.0922696385264423,0.092807804015828,-0.18367226412528992,1.0922696385264423,0.7523741847328391,off_manifold_collapse
Otx2,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,0.9878093645285223,0.9878093645285223,rdeg_proxy_quick,1.084354075544918,1.0843540755449181,0.10119313295946841,-0.19900380664348316,1.0843540755449181,0.7523741847328391,off_manifold_collapse
Prdm16,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,0.9835273279625126,0.9835273279625126,rdeg_proxy_quick,1.0717278065180547,1.0717278065180547,0.10198265736344592,-0.22881364897592027,1.0717278065180547,0.7523741847328391,off_manifold_collapse
Dach2,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,0.9796589452674224,0.9796589452674224,rdeg_proxy_quick,1.0946664892237745,1.0946664892237745,0.08193225430810136,-0.1869865628770797,1.0946664892237745,0.7523741847328391,off_manifold_collapse
Hoxd4,RDEG-derived,Theiler stage 15,15,neural_response_axis,rdeg_proxy,1.0,0.9560452269046682,0.9560452269046682,rdeg_proxy_quick,1.0501765911387588,1.0501765911387588,0.10181989832026295,-0.20895847637760845,1.0501765911387588,0.7523741847328391,off_manifold_collapse
