method,shuffle_time,lineage,module_name,feature_type,mse,mae,n_predictions,bias,pearson,spearman
linear,False,mesodermal,neural,module_score,0.0010936243850353127,0.022165822478675327,4,0.011044230396339828,-0.2685387743011114,-0.6000000000000001
linear,True,mesodermal,neural,module_score,0.0023964051088689966,0.042449075491636665,4,-0.011044230396339824,-0.5235818332567648,-0.39999999999999997
linear,False,mesodermal,paraxial_mesoderm,module_score,0.0034721280214561564,0.045400735420580735,4,-0.015640010411379135,0.9581544971417149,1.0
linear,True,mesodermal,paraxial_mesoderm,module_score,0.019722866594151227,0.11626928645340785,4,0.04273076302645269,-0.821901981814066,-0.7999999999999999
linear,False,mesodermal,stress,module_score,4.430509255547604e-05,0.0056255747661742295,4,0.001930652914972547,-0.8783490751080916,-0.7999999999999999
linear,True,mesodermal,stress,module_score,2.8436927790928232e-05,0.004836099173905692,4,0.0017561193986444928,-0.3583763629603211,-0.6000000000000001
linear,False,mesodermal,wnt_response,module_score,0.008820535685424532,0.061017938121871826,4,0.030622911258253796,0.805579479375083,0.7999999999999999
linear,True,mesodermal,wnt_response,module_score,0.03205598609574488,0.16569357483164102,4,0.018153219213058375,-0.687272642934515,-0.6000000000000001
linear,False,neural,apoptosis,module_score,0.0013089836112948944,0.03025428819309041,4,-0.0018226164375268333,0.7372268102925892,0.6000000000000001
linear,True,neural,apoptosis,module_score,0.00816454667122881,0.0876486536672706,4,-0.01752973073345411,-0.9660287545799056,-0.7999999999999999
linear,False,neural,cardiac,module_score,0.00010458922992931204,0.008059326519114235,4,0.0016118653038228463,-0.09008009943776579,0.6000000000000001
linear,True,neural,cardiac,module_score,0.00010458922992931204,0.008059326519114235,4,0.0016118653038228463,-0.09008009943776579,0.6000000000000001
linear,False,neural,cell_cycle,module_score,0.003281329240348757,0.05616159041671598,4,-0.011232318083343185,-0.9989488126078057,-0.6000000000000001
linear,True,neural,cell_cycle,module_score,0.004515797255403542,0.0671865521361455,4,-0.000257313845997309,-0.9994962300771707,-1.0
linear,False,neural,endothelial,module_score,5.0149762373325016e-05,0.0051936801140154065,4,0.0010387360228030816,-0.039815902547714915,0.6000000000000001
linear,True,neural,endothelial,module_score,5.044813247832891e-05,0.005057522523858991,4,0.0009706572277248717,-0.04621856666424409,0.7999999999999999
linear,False,neural,erythroid,module_score,1.479791251542126e-07,0.000330269752812022,4,-6.605395056240441e-05,0.5110557095808996,0.6000000000000001
linear,True,neural,erythroid,module_score,6.799193998225421e-07,0.0008218723147581712,4,-1.7777867797113482e-06,-0.7164176453795256,-0.6000000000000001
linear,False,neural,extraembryonic_mesoderm,module_score,0.0016872745363034577,0.03638102208680266,4,-0.0034031273427286325,0.900721007358212,0.7999999999999999
linear,True,neural,extraembryonic_mesoderm,module_score,0.0016872745363034577,0.03638102208680266,4,-0.0034031273427286325,0.900721007358212,0.7999999999999999
linear,False,neural,haematoendothelial,module_score,7.4277119818690035e-06,0.002343458145539548,4,-0.00025631745002537183,0.5378333241654587,0.7999999999999999
linear,True,neural,haematoendothelial,module_score,3.129066515510358e-05,0.005488638392240343,4,0.0002056710516952706,-0.9001959217280339,-0.6000000000000001
linear,False,neural,intermediate,module_score,0.010322469648367593,0.08781130474607463,4,-0.014310709284772037,0.15621627225796947,0.7999999999999999
