source_lineage,target_lineage,mass,source_time,target_time
ExE ectoderm,Rostral neurectoderm,3.906935489794705e-06,7.0,7.25
ExE ectoderm,Stripped,6.935427791177062e-06,7.0,7.25
Haematoendothelial progenitors,Anterior Primitive Streak,5.3697714719191936e-08,7.0,7.25
Haematoendothelial progenitors,Def. endoderm,6.699889354422339e-08,7.0,7.25
Haematoendothelial progenitors,Epiblast,3.8485870046400805e-10,7.0,7.25
Haematoendothelial progenitors,ExE mesoderm,0.00026882419479079545,7.0,7.25
Haematoendothelial progenitors,Haematoendothelial progenitors,0.05744754895567894,7.0,7.25
Haematoendothelial progenitors,Mesenchyme,0.0003206580295227468,7.0,7.25
Haematoendothelial progenitors,Mixed mesoderm,0.0002442354743834585,7.0,7.25
Haematoendothelial progenitors,Nascent mesoderm,2.8239268431207165e-05,7.0,7.25
Haematoendothelial progenitors,Notochord,1.2724450826340217e-08,7.0,7.25
Haematoendothelial progenitors,Primitive Streak,1.3559981582034197e-08,7.0,7.25
Haematoendothelial progenitors,Rostral neurectoderm,3.532131698236185e-09,7.0,7.25
Haematoendothelial progenitors,Stripped,2.3708240405539982e-05,7.0,7.25
Mesenchyme,Anterior Primitive Streak,7.733521378838759e-09,7.0,7.25
Mesenchyme,Def. endoderm,4.485577420609843e-08,7.0,7.25
Mesenchyme,Epiblast,2.5821947358117825e-10,7.0,7.25
Mesenchyme,ExE mesoderm,0.001247237785719335,7.0,7.25
Mesenchyme,Haematoendothelial progenitors,0.00030489236814901233,7.0,7.25
Mesenchyme,Mesenchyme,0.006146613042801619,7.0,7.25
Mesenchyme,Mixed mesoderm,0.0005540910642594099,7.0,7.25
Mesenchyme,Nascent mesoderm,8.036939107114449e-05,7.0,7.25
Mesenchyme,Notochord,7.0771459803609105e-09,7.0,7.25
Mesenchyme,Primitive Streak,6.0927751732720026e-09,7.0,7.25
Mesenchyme,Rostral neurectoderm,1.8751464825328412e-09,7.0,7.25
Mesenchyme,Stripped,6.703689336973184e-08,7.0,7.25
Mixed mesoderm,Anterior Primitive Streak,2.1456344256876037e-07,7.0,7.25
Mixed mesoderm,Def. endoderm,4.205341156193754e-06,7.0,7.25
Mixed mesoderm,Epiblast,6.582374822983184e-08,7.0,7.25
Mixed mesoderm,ExE mesoderm,0.009398559108376503,7.0,7.25
Mixed mesoderm,Haematoendothelial progenitors,0.01095530390739441,7.0,7.25
Mixed mesoderm,Mesenchyme,0.01471109688282013,7.0,7.25
Mixed mesoderm,Mixed mesoderm,0.005939610302448273,7.0,7.25
Mixed mesoderm,Nascent mesoderm,0.008988380432128906,7.0,7.25
Mixed mesoderm,Notochord,6.584107836715702e-08,7.0,7.25
Mixed mesoderm,Primitive Streak,9.285605528930319e-07,7.0,7.25
Mixed mesoderm,Rostral neurectoderm,2.2852722736388387e-07,7.0,7.25
Mixed mesoderm,Stripped,1.3649905667989515e-06,7.0,7.25
Nascent mesoderm,Anterior Primitive Streak,0.0004788907535839826,7.0,7.25
Nascent mesoderm,Def. endoderm,0.0015474110841751099,7.0,7.25
Nascent mesoderm,Epiblast,5.708279786631465e-05,7.0,7.25
Nascent mesoderm,ExE mesoderm,0.00159704708494246,7.0,7.25
Nascent mesoderm,Haematoendothelial progenitors,0.024597790092229843,7.0,7.25
Nascent mesoderm,Mesenchyme,0.005427997559309006,7.0,7.25
Nascent mesoderm,Mixed mesoderm,0.05756840854883194,7.0,7.25
Nascent mesoderm,Nascent mesoderm,0.17158186435699463,7.0,7.25
Nascent mesoderm,Notochord,0.0005487047601491213,7.0,7.25
Nascent mesoderm,Primitive Streak,0.0032188883051276207,7.0,7.25
Nascent mesoderm,Rostral neurectoderm,4.23061937908642e-05,7.0,7.25
Nascent mesoderm,Stripped,3.880312817727827e-07,7.0,7.25
PGC,Anterior Primitive Streak,8.502594539550046e-08,7.0,7.25
PGC,Def. endoderm,2.5327799448859878e-05,7.0,7.25
PGC,Epiblast,2.0700520053651417e-07,7.0,7.25
PGC,ExE mesoderm,0.0026373895816504955,7.0,7.25
PGC,Haematoendothelial progenitors,3.779614780796692e-05,7.0,7.25
PGC,Mesenchyme,0.0005536433891393244,7.0,7.25
PGC,Mixed mesoderm,0.00048176327254623175,7.0,7.25
PGC,Nascent mesoderm,0.004499988164752722,7.0,7.25
PGC,Notochord,9.161970228888094e-05,7.0,7.25
PGC,Primitive Streak,3.667138116725255e-06,7.0,7.25
PGC,Rostral neurectoderm,1.850235662459454e-06,7.0,7.25
PGC,Stripped,3.02638469840133e-10,7.0,7.25
Primitive Streak,Anterior Primitive Streak,0.0026220493018627167,7.0,7.25
Primitive Streak,Def. endoderm,0.019036300480365753,7.0,7.25
Primitive Streak,Epiblast,0.013815987855196,7.0,7.25
Primitive Streak,ExE mesoderm,0.0013897885801270604,7.0,7.25
Primitive Streak,Haematoendothelial progenitors,0.015673896297812462,7.0,7.25
Primitive Streak,Mesenchyme,0.004650736227631569,7.0,7.25
Primitive Streak,Mixed mesoderm,0.006645388435572386,7.0,7.25
Primitive Streak,Nascent mesoderm,0.046530138701200485,7.0,7.25
Primitive Streak,Notochord,0.003137449501082301,7.0,7.25
Primitive Streak,Primitive Streak,0.0668095052242279,7.0,7.25
Primitive Streak,Rostral neurectoderm,0.00286745629273355,7.0,7.25
Primitive Streak,Stripped,0.00015473664097953588,7.0,7.25
Rostral neurectoderm,Anterior Primitive Streak,0.0002790046273730695,7.0,7.25
Rostral neurectoderm,Def. endoderm,0.0031961596105247736,7.0,7.25
Rostral neurectoderm,Epiblast,0.004337450955063105,7.0,7.25
Rostral neurectoderm,ExE mesoderm,0.0005003359983675182,7.0,7.25
Rostral neurectoderm,Haematoendothelial progenitors,0.0014275646535679698,7.0,7.25
Rostral neurectoderm,Mesenchyme,0.0009801593841984868,7.0,7.25
Rostral neurectoderm,Mixed mesoderm,0.0006895092665217817,7.0,7.25
Rostral neurectoderm,Nascent mesoderm,0.003618566319346428,7.0,7.25
Rostral neurectoderm,Notochord,0.00031563176889903843,7.0,7.25
Rostral neurectoderm,Primitive Streak,0.008302239701151848,7.0,7.25
Rostral neurectoderm,Rostral neurectoderm,0.0013533250894397497,7.0,7.25
Rostral neurectoderm,Stripped,6.024033893936576e-08,7.0,7.25
Stripped,Anterior Primitive Streak,7.054702564346371e-06,7.0,7.25
Stripped,Def. endoderm,0.0002041811094386503,7.0,7.25
Stripped,Epiblast,0.004674349911510944,7.0,7.25
Stripped,ExE mesoderm,0.003012290922924876,7.0,7.25
Stripped,Haematoendothelial progenitors,0.00028282133280299604,7.0,7.25
Stripped,Mesenchyme,4.074741082149558e-05,7.0,7.25
Stripped,Mixed mesoderm,0.0002749330596998334,7.0,7.25
Stripped,Nascent mesoderm,0.004338166676461697,7.0,7.25
Stripped,Notochord,2.8034486604155973e-05,7.0,7.25
Stripped,Primitive Streak,0.0059867436066269875,7.0,7.25
Stripped,Rostral neurectoderm,1.6001918993424624e-05,7.0,7.25
Stripped,Stripped,0.022801024839282036,7.0,7.25
Surface ectoderm,Anterior Primitive Streak,2.4419958208454773e-05,7.0,7.25
Surface ectoderm,Def. endoderm,0.000255894468864426,7.0,7.25
Surface ectoderm,Epiblast,9.544656677462626e-06,7.0,7.25
Surface ectoderm,ExE mesoderm,0.0014473951887339354,7.0,7.25
Surface ectoderm,Haematoendothelial progenitors,0.0008415979100391269,7.0,7.25
Surface ectoderm,Mesenchyme,0.006154813338071108,7.0,7.25
Surface ectoderm,Mixed mesoderm,0.00264415773563087,7.0,7.25
Surface ectoderm,Nascent mesoderm,0.0047684358432888985,7.0,7.25
Surface ectoderm,Notochord,4.541814996628091e-05,7.0,7.25
Surface ectoderm,Primitive Streak,0.0003801248676609248,7.0,7.25
Surface ectoderm,Rostral neurectoderm,9.458770364290103e-05,7.0,7.25
Surface ectoderm,Stripped,2.841514969986747e-07,7.0,7.25
Anterior Primitive Streak,Blood progenitors 1,0.00010431647388031706,7.25,7.5
Anterior Primitive Streak,Blood progenitors 2,0.00021435362577904016,7.25,7.5
Anterior Primitive Streak,Caudal Mesoderm,0.00034213787876069546,7.25,7.5
Anterior Primitive Streak,Caudal epiblast,0.0005323480581864715,7.25,7.5
Anterior Primitive Streak,Caudal neurectoderm,0.00012323771079536527,7.25,7.5
Anterior Primitive Streak,Def. endoderm,0.00978869292885065,7.25,7.5
Anterior Primitive Streak,Epiblast,0.00017459092487115413,7.25,7.5
Anterior Primitive Streak,ExE mesoderm,7.38314411137253e-05,7.25,7.5
Anterior Primitive Streak,Gut,0.009131294675171375,7.25,7.5
Anterior Primitive Streak,Haematoendothelial progenitors,0.00011488187010399997,7.25,7.5
Anterior Primitive Streak,Intermediate mesoderm,6.814295920776203e-05,7.25,7.5
Anterior Primitive Streak,Mesenchyme,0.00018105280469171703,7.25,7.5
Anterior Primitive Streak,Mixed mesoderm,4.165397331234999e-05,7.25,7.5
Anterior Primitive Streak,Nascent mesoderm,0.0002413736074231565,7.25,7.5
Anterior Primitive Streak,Notochord,6.078226306271972e-06,7.25,7.5
Anterior Primitive Streak,PGC,3.484231638140045e-05,7.25,7.5
Anterior Primitive Streak,Paraxial mesoderm,3.738345913006924e-05,7.25,7.5
Anterior Primitive Streak,Pharyngeal mesoderm,1.5276060366886668e-05,7.25,7.5
