clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
632*NA*NA,2,2,9.0,15.0,1
633*440*NA,7,4,9.0,21.0,1
633*707*NA,2,2,12.0,28.0,2
633*NA*NA,1,1,28.0,28.0,1
640*NA*NA,1,1,12.0,12.0,1
641*552*NA,1,1,12.0,12.0,1
641*NA*NA,1,1,12.0,12.0,1
645*NA*NA,3,3,9.0,15.0,2
647*309*NA,4,3,9.0,15.0,1
647*630*NA,3,2,12.0,15.0,2
647*NA*NA,2,1,12.0,12.0,1
649*NA*NA,2,2,9.0,15.0,1
650*NA*NA,3,1,12.0,12.0,1
651*NA*NA,3,3,9.0,15.0,1
652*203*NA,21,3,12.0,21.0,2
652*NA*NA,3,1,15.0,15.0,1
653*526*NA,3,2,12.0,15.0,1
654*NA*NA,3,1,12.0,12.0,1
655*NA*NA,2,1,12.0,12.0,1
657*490*NA,3,1,12.0,12.0,1
657*NA*NA,2,1,12.0,12.0,1
658*NA*NA,9,2,12.0,15.0,1
659*495*NA,5,2,12.0,15.0,1
660*496*NA,3,1,12.0,12.0,1
662*NA*NA,1,1,12.0,12.0,1
663*NA*NA,2,1,15.0,15.0,1
666*191*NA,1,1,12.0,12.0,1
666*593*NA,1,1,28.0,28.0,1
666*NA*9,3,1,28.0,28.0,1
666*NA*14,2,1,28.0,28.0,1
666*NA*66,1,1,21.0,21.0,1
666*NA*68,1,1,28.0,28.0,1
666*NA*74,1,1,28.0,28.0,1
666*NA*87,1,1,21.0,21.0,1
666*NA*89,1,1,21.0,21.0,1
666*NA*92,1,1,28.0,28.0,1
666*NA*102,2,1,28.0,28.0,1
666*NA*108,2,1,28.0,28.0,1
666*NA*123,1,1,28.0,28.0,1
666*NA*124,8,1,28.0,28.0,1
666*NA*127,1,1,28.0,28.0,1
666*NA*132,1,1,28.0,28.0,1
666*NA*136,2,1,28.0,28.0,1
666*NA*138,1,1,28.0,28.0,1
666*NA*142,1,1,28.0,28.0,1
666*NA*143,2,1,28.0,28.0,2
666*NA*146,1,1,28.0,28.0,1
666*NA*150,4,1,28.0,28.0,1
666*NA*153,2,1,28.0,28.0,2
666*NA*155,1,1,28.0,28.0,1
666*NA*158,2,1,28.0,28.0,1
666*NA*160,1,1,28.0,28.0,1
666*NA*162,1,1,28.0,28.0,1
666*NA*167,1,1,28.0,28.0,1
666*NA*169,2,1,28.0,28.0,1
666*NA*172,1,1,28.0,28.0,1
666*NA*175,2,1,28.0,28.0,1
666*NA*192,1,1,28.0,28.0,1
666*NA*194,1,1,28.0,28.0,1
666*NA*198,1,1,28.0,28.0,1
666*NA*204,1,1,28.0,28.0,1
666*NA*208,1,1,28.0,28.0,1
666*NA*211,1,1,28.0,28.0,1
666*NA*219,1,1,28.0,28.0,1
666*NA*221,1,1,28.0,28.0,1
666*NA*231,1,1,28.0,28.0,1
666*NA*232,1,1,28.0,28.0,1
666*NA*233,1,1,28.0,28.0,1
666*NA*236,1,1,28.0,28.0,1
666*NA*238,2,1,28.0,28.0,1
666*NA*247,1,1,28.0,28.0,1
666*NA*255,1,1,28.0,28.0,1
666*NA*256,1,1,28.0,28.0,1
666*NA*258,1,1,28.0,28.0,1
666*NA*260,2,1,28.0,28.0,2
666*NA*NA,516,4,12.0,28.0,3
667*515*NA,5,2,12.0,15.0,1
672*NA*NA,5,1,12.0,12.0,1
675*523*55,1,1,21.0,21.0,1
675*523*NA,30,4,12.0,28.0,2
675*NA*224,1,1,28.0,28.0,1
675*NA*NA,3,3,12.0,28.0,1
677*NA*NA,1,1,12.0,12.0,1
682*559*NA,1,1,12.0,12.0,1
683*560*NA,3,1,12.0,12.0,1
685*NA*NA,5,2,12.0,15.0,1
689*574*NA,1,1,12.0,12.0,1
693*586*NA,2,1,12.0,12.0,1
696*NA*NA,3,2,15.0,21.0,1
