seed,variant,density_bin,local_density,empirical_birth_rate_by_density_bin,empirical_death_rate_by_density_bin,empirical_net_growth_rate_by_density_bin,event_count
42,M10_shuffled_time_ot,"(24661.125, 28184.0]",0.7408265613015553,0.45416666666666666,0.5458333333333333,-0.09166666666666666,240
42,M10_shuffled_time_ot,"(7046.75, 10569.625]",0.08911215673124852,0.44313725490196076,0.5568627450980392,-0.11372549019607843,255
42,M11_random_lr_labels,"(14092.5, 17615.375]",0.13011377512342787,0.4380165289256198,0.5619834710743802,-0.12396694214876033,242
42,M11_random_lr_labels,"(24661.125, 28184.0]",0.7408265613015556,0.46558704453441296,0.5344129554655871,-0.06882591093117409,247
42,M11_random_lr_labels,"(7046.75, 10569.625]",0.08911215673124853,0.4859437751004016,0.5140562248995983,-0.028112449799196786,249
42,M3_ot_birth_death,"(14092.5, 17615.375]",0.1301137751234279,0.468,0.532,-0.064,250
42,M3_ot_birth_death,"(24661.125, 28184.0]",0.7408265613015554,0.44871794871794873,0.5512820512820513,-0.10256410256410256,234
42,M3_ot_birth_death,"(3523.875, 7046.75]",0.08911215673124852,0.4715447154471545,0.5284552845528455,-0.056910569105691054,246
42,M6_ot_swarm_birth_death,"(14092.5, 17615.375]",0.13011377512342787,0.4819277108433735,0.5180722891566265,-0.03614457831325301,249
42,M6_ot_swarm_birth_death,"(24661.125, 28184.0]",0.7408265613015554,0.4567901234567901,0.5432098765432098,-0.08641975308641975,243
42,M6_ot_swarm_birth_death,"(3523.875, 7046.75]",0.08911215673124852,0.4583333333333333,0.5416666666666666,-0.08333333333333333,240
42,M7_ot_swarm_birth_death_diffusion,"(14092.5, 17615.375]",0.13011377512342792,0.4860557768924303,0.5139442231075697,-0.027888446215139442,251
42,M7_ot_swarm_birth_death_diffusion,"(24661.125, 28184.0]",0.7408265613015554,0.4267241379310345,0.5732758620689655,-0.14655172413793102,232
42,M7_ot_swarm_birth_death_diffusion,"(3523.875, 7046.75]",0.08911215673124852,0.4838709677419355,0.5161290322580645,-0.03225806451612903,248
42,M8_ot_swarm_birth_death_diffusion_cci,"(14092.5, 17615.375]",0.13011377512342792,0.4860557768924303,0.5139442231075697,-0.027888446215139442,251
42,M8_ot_swarm_birth_death_diffusion_cci,"(24661.125, 28184.0]",0.7408265613015554,0.4267241379310345,0.5732758620689655,-0.14655172413793102,232
42,M8_ot_swarm_birth_death_diffusion_cci,"(3523.875, 7046.75]",0.08911215673124852,0.4838709677419355,0.5161290322580645,-0.03225806451612903,248
42,M9_full_memory,"(14092.5, 17615.375]",0.13011377512342792,0.4860557768924303,0.5139442231075697,-0.027888446215139442,251
42,M9_full_memory,"(24661.125, 28184.0]",0.7408265613015554,0.4267241379310345,0.5732758620689655,-0.14655172413793102,232
42,M9_full_memory,"(3523.875, 7046.75]",0.08911215673124852,0.34523809523809523,0.6547619047619048,-0.30952380952380953,84
42,M9_full_memory,"(7046.75, 10569.625]",0.08911215673124852,0.5548780487804879,0.4451219512195122,0.10975609756097561,164
99,M10_shuffled_time_ot,"(17615.375, 21138.25]",0.1301137751234279,0.48264984227129337,0.5173501577287066,-0.03470031545741325,317
99,M10_shuffled_time_ot,"(24661.125, 28184.0]",0.7408265613015557,0.4482758620689655,0.5517241379310345,-0.10344827586206896,203
99,M10_shuffled_time_ot,"(7046.75, 10569.625]",0.08911215673124852,0.4827586206896552,0.5172413793103449,-0.034482758620689655,290
99,M11_random_lr_labels,"(17615.375, 21138.25]",0.13011377512342795,0.4634146341463415,0.5365853658536586,-0.07317073170731707,287
99,M11_random_lr_labels,"(24661.125, 28184.0]",0.7408265613015553,0.4521072796934866,0.5478927203065134,-0.09578544061302682,261
99,M11_random_lr_labels,"(7046.75, 10569.625]",0.08911215673124852,0.4716981132075472,0.5283018867924528,-0.05660377358490566,265
99,M3_ot_birth_death,"(14092.5, 17615.375]",0.1301137751234279,0.48068669527896996,0.51931330472103,-0.03862660944206009,233
99,M3_ot_birth_death,"(17615.375, 21138.25]",0.13011377512342792,0.4794520547945205,0.5205479452054794,-0.0410958904109589,73
99,M3_ot_birth_death,"(24661.125, 28184.0]",0.7408265613015554,0.45871559633027525,0.5412844036697247,-0.08256880733944955,218
99,M3_ot_birth_death,"(7046.75, 10569.625]",0.08911215673124852,0.44405594405594406,0.5559440559440559,-0.11188811188811189,286
99,M6_ot_swarm_birth_death,"(17615.375, 21138.25]",0.1301137751234279,0.5110410094637224,0.4889589905362776,0.022082018927444796,317
99,M6_ot_swarm_birth_death,"(24661.125, 28184.0]",0.7408265613015556,0.4381443298969072,0.5618556701030928,-0.12371134020618557,194
99,M6_ot_swarm_birth_death,"(7046.75, 10569.625]",0.0891121567312485,0.42574257425742573,0.5742574257425742,-0.1485148514851485,303
99,M7_ot_swarm_birth_death_diffusion,"(17615.375, 21138.25]",0.1301137751234279,0.5110410094637224,0.4889589905362776,0.022082018927444796,317
99,M7_ot_swarm_birth_death_diffusion,"(24661.125, 28184.0]",0.7408265613015556,0.4381443298969072,0.5618556701030928,-0.12371134020618557,194
99,M7_ot_swarm_birth_death_diffusion,"(7046.75, 10569.625]",0.0891121567312485,0.42574257425742573,0.5742574257425742,-0.1485148514851485,303
99,M8_ot_swarm_birth_death_diffusion_cci,"(17615.375, 21138.25]",0.1301137751234279,0.5110410094637224,0.4889589905362776,0.022082018927444796,317
99,M8_ot_swarm_birth_death_diffusion_cci,"(24661.125, 28184.0]",0.7408265613015556,0.4381443298969072,0.5618556701030928,-0.12371134020618557,194
99,M8_ot_swarm_birth_death_diffusion_cci,"(7046.75, 10569.625]",0.0891121567312485,0.42574257425742573,0.5742574257425742,-0.1485148514851485,303
