seed,time,event,parent_index,lineage,variant,step
7,14.5,birth,453,erythroid,M3_ot_birth_death,1
7,14.5,birth,464,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,471,neural,M3_ot_birth_death,1
7,14.5,birth,479,erythroid,M3_ot_birth_death,1
7,14.5,birth,480,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,507,neural,M3_ot_birth_death,1
7,14.5,birth,508,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,524,erythroid,M3_ot_birth_death,1
7,14.5,birth,530,neural,M3_ot_birth_death,1
7,14.5,birth,557,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,565,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,566,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,573,neural,M3_ot_birth_death,1
7,14.5,birth,575,erythroid,M3_ot_birth_death,1
7,14.5,birth,594,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,598,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,607,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,617,erythroid,M3_ot_birth_death,1
7,14.5,birth,619,erythroid,M3_ot_birth_death,1
7,14.5,birth,622,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,647,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,655,erythroid,M3_ot_birth_death,1
7,14.5,birth,664,erythroid,M3_ot_birth_death,1
7,14.5,birth,671,neural,M3_ot_birth_death,1
7,14.5,birth,682,erythroid,M3_ot_birth_death,1
7,14.5,birth,687,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,698,erythroid,M3_ot_birth_death,1
7,14.5,birth,699,erythroid,M3_ot_birth_death,1
7,14.5,birth,707,erythroid,M3_ot_birth_death,1
7,14.5,birth,749,neural,M3_ot_birth_death,1
7,14.5,birth,764,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,770,erythroid,M3_ot_birth_death,1
7,14.5,birth,773,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,787,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,792,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,793,erythroid,M3_ot_birth_death,1
7,14.5,birth,799,neural,M3_ot_birth_death,1
7,14.5,birth,801,neural,M3_ot_birth_death,1
7,14.5,birth,809,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,811,neural,M3_ot_birth_death,1
7,14.5,birth,814,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,826,neural,M3_ot_birth_death,1
7,14.5,birth,833,erythroid,M3_ot_birth_death,1
7,14.5,birth,846,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,850,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,birth,858,neural,M3_ot_birth_death,1
7,14.5,birth,881,mesoderm_muscle,M3_ot_birth_death,1
7,14.75,death,3,neural,M3_ot_birth_death,2
7,14.75,death,12,neural,M3_ot_birth_death,2
7,14.75,death,17,neural,M3_ot_birth_death,2
7,14.75,death,18,neural,M3_ot_birth_death,2
7,14.75,death,39,erythroid,M3_ot_birth_death,2
7,14.75,death,44,erythroid,M3_ot_birth_death,2
7,14.75,death,52,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,60,erythroid,M3_ot_birth_death,2
7,14.75,death,75,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,86,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,89,erythroid,M3_ot_birth_death,2
7,14.75,death,95,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,99,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,111,neural,M3_ot_birth_death,2
7,14.75,death,114,neural,M3_ot_birth_death,2
7,14.75,death,115,neural,M3_ot_birth_death,2
7,14.75,death,125,neural,M3_ot_birth_death,2
7,14.75,death,138,neural,M3_ot_birth_death,2
7,14.75,death,154,erythroid,M3_ot_birth_death,2
7,14.75,death,168,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,184,erythroid,M3_ot_birth_death,2
7,14.75,death,187,erythroid,M3_ot_birth_death,2
7,14.75,death,188,neural,M3_ot_birth_death,2
7,14.75,death,202,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,203,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,204,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,221,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,241,neural,M3_ot_birth_death,2
7,14.75,death,246,neural,M3_ot_birth_death,2
7,14.75,death,285,neural,M3_ot_birth_death,2
7,14.75,death,303,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,309,neural,M3_ot_birth_death,2
7,14.75,death,326,erythroid,M3_ot_birth_death,2
7,14.75,death,345,erythroid,M3_ot_birth_death,2
7,14.75,death,354,neural,M3_ot_birth_death,2
7,14.75,death,371,erythroid,M3_ot_birth_death,2
7,14.75,death,372,neural,M3_ot_birth_death,2
7,14.75,death,375,erythroid,M3_ot_birth_death,2
7,14.75,death,381,erythroid,M3_ot_birth_death,2
7,14.75,death,390,neural,M3_ot_birth_death,2
7,14.75,death,393,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,402,neural,M3_ot_birth_death,2
7,14.75,death,405,erythroid,M3_ot_birth_death,2
7,14.75,death,421,erythroid,M3_ot_birth_death,2
7,14.75,death,440,neural,M3_ot_birth_death,2
7,14.75,death,443,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,451,erythroid,M3_ot_birth_death,2
7,14.75,death,452,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,454,neural,M3_ot_birth_death,2
7,14.75,death,470,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,488,erythroid,M3_ot_birth_death,2
7,14.75,death,493,erythroid,M3_ot_birth_death,2
7,14.75,death,497,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,508,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,510,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,516,erythroid,M3_ot_birth_death,2
7,14.75,death,517,neural,M3_ot_birth_death,2
7,14.75,death,525,neural,M3_ot_birth_death,2
7,14.75,death,547,erythroid,M3_ot_birth_death,2
7,14.75,death,584,erythroid,M3_ot_birth_death,2
7,14.75,death,614,erythroid,M3_ot_birth_death,2
7,14.75,death,629,erythroid,M3_ot_birth_death,2
7,14.75,death,631,erythroid,M3_ot_birth_death,2
7,14.75,death,638,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,642,neural,M3_ot_birth_death,2
7,14.75,death,669,neural,M3_ot_birth_death,2
7,14.75,death,675,neural,M3_ot_birth_death,2
7,14.75,death,693,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,699,mesoderm_muscle,M3_ot_birth_death,2
7,14.75,death,712,erythroid,M3_ot_birth_death,2
7,14.75,death,715,mesoderm_muscle,M3_ot_birth_death,2
