dataset_id,sampling_strategy,model,outcome,control,control_effect,control_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_fate_diversification_index,teacher_velocity_shuffle,-0.042593438075089224,0.7888316240428952,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_transition_entropy,clone_label_shuffle,0.11203584093365981,0.4799443570333043,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_transition_entropy,time_label_shuffle,-0.07788435682179061,0.6239488234019843,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_transition_entropy,outcome_label_shuffle,-0.16440144990519262,0.2981589805127003,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_transition_entropy,exposure_shuffle,0.021724138504494582,0.8913819881724799,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,clone_transition_entropy,teacher_velocity_shuffle,-0.29702304653961803,0.05610802303299216,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_fate_entropy,clone_label_shuffle,-0.30561889587899077,0.04904044903379267,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_fate_entropy,time_label_shuffle,-0.1126311017140246,0.4775991818725551,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_fate_entropy,outcome_label_shuffle,-0.005269291308258462,0.9735800590236233,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_fate_entropy,exposure_shuffle,0.14007532727787078,0.37628103339234675,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,teacher_bias_only,terminal_fate_entropy,teacher_velocity_shuffle,-0.003293307067661538,0.9834857675180786,True
