dataset,tf,target,rank,target_source,signed_prior,correlation_proxy
E3_MouseGastrulationData_full,Pou5f1,Zfp42,10,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Pou5f1,1,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Zfp42,2,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Dppa4,3,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Gja1,4,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Hes1,5,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Hes3,6,pathwayfinder_omnipath_prior,1.0,0.06747104708026096
E3_MouseGastrulationData_full,Nanog,Gata6,7,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Nanog,Esrrb,8,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Nanog,Cdc25a,9,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Nanog,Cdk6,10,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Sox2,Fgf4,1,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Fgf3,2,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Sox2,Pou5f1,3,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Nanog,4,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Hrc,5,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Six3,6,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Pax6,7,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Zfp42,8,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Dppa4,9,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Sox2,Lefty1,10,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Klf4,Cdkn1a,1,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Klf4,Krt4,2,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Klf4,Actg2,3,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Klf4,Cdx2,4,pathwayfinder_omnipath_prior,1.0,-0.012824674496314659
E3_MouseGastrulationData_full,Klf4,Lama3,5,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Klf4,Lamc1,6,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Klf4,Id3,7,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Klf4,Gstp1,8,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Klf4,Odc1,9,pathwayfinder_omnipath_prior,-1.0,
E3_MouseGastrulationData_full,Klf4,Gpa33,10,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Nrip1,1,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Thra,2,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Cdkn1a,3,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Nanog,4,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Pou5f1,5,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Otx2,6,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Nr0b1,7,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Cdh1,8,pathwayfinder_omnipath_prior,1.0,
E3_MouseGastrulationData_full,Esrrb,Fst,9,pathwayfinder_omnipath_prior,1.0,
