model,condition,gene,context,perturbation_label,n_pairs,pair_latent_mse,centroid_latent_mse,effect_cosine,rbf_mmd,condition_mean_pair_latent_mse,condition_centered_pair_latent_mse
gene_context_ridge_residual,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.1638838350772857,0.010633822530508,0.3884884417057037,0.0720093250274658,0.3991843819618225,-0.23530054688453678
gene_context_ridge_residual,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,0.2392327636480331,0.0062594730406999,0.6975430250167847,0.0584703683853149,0.7448100358247757,-0.5055772721767426
gene_context_ridge_residual,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.1663344204425811,0.0101778097450733,0.5695672631263733,0.051344871520996,0.4280483067035675,-0.26171388626098646
gene_context_ridge_residual,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.1523782014846801,0.008952435106039,0.6250981688499451,0.0403835177421569,0.6073170870542526,-0.4549388855695725
gene_context_ridge_residual,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.1447525173425674,0.0046167196705937,0.7282185554504395,0.0368105173110961,0.3817464023828506,-0.23699388504028324
gene_context_ridge_residual,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,0.4490069150924682,0.0093652857467532,0.6469448208808899,0.0489828586578369,0.9765030145645142,-0.5274960994720459
gene_context_ridge_residual,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.239105686545372,0.0110663259401917,0.4300812482833862,0.0817742943763732,0.4575215667486191,-0.2184158802032471
gene_context_ridge_residual,LAT|stimulated|LAT_2,LAT,stimulated,LAT_2,220,0.1712255030870437,0.0133197288960218,0.6328814029693604,0.0642585158348083,0.9029881030321121,-0.7317625999450683
gene_context_ridge_residual,LAT|unstimulated|LAT_2,LAT,unstimulated,LAT_2,220,0.1526927351951599,0.0065820133313536,0.653419554233551,0.042430579662323,0.472952663898468,-0.3202599287033081
gene_context_ridge_residual,LCK|stimulated|LCK_2,LCK,stimulated,LCK_2,220,0.158888965845108,0.011807881295681,0.7248492240905762,0.0823345780372619,0.8282479584217072,-0.6693589925765991
gene_context_ridge_residual,LCK|unstimulated|LCK_2,LCK,unstimulated,LCK_2,220,0.2672756314277649,0.0062549905851483,0.7886651158332825,0.083400547504425,0.5443524062633515,-0.27707677483558657
gene_context_ridge_residual,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.1349983960390091,0.0078393062576651,0.6258567571640015,0.0712564587593078,0.6076467245817184,-0.47264832854270933
gene_context_ridge_residual,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.125758558511734,0.0111939553171396,0.4469604790210724,0.1049407124519348,0.3123344331979751,-0.1865758746862411
gene_context_ridge_residual,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,0.232155442237854,0.0081210015341639,0.4567931294441223,0.0652207136154174,0.722958219051361,-0.49080277681350704
gene_context_ridge_residual,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.1839939802885055,0.0123609798029065,0.4029326736927032,0.0634756684303283,0.5332326292991638,-0.3492386490106583
gene_context_ridge_residual,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.2950879335403442,0.0060701770707964,0.6151914596557617,0.055226445198059,0.6850308060646058,-0.3899428725242616
gene_context_ridge_residual,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.1413213461637497,0.0092060677707195,0.4422975778579712,0.0639498233795166,0.36098282039165497,-0.21966147422790527
gene_context_ridge_residual,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.2660400867462158,0.0109012378379702,0.3998830914497375,0.102884829044342,0.632004463672638,-0.36596437692642214
gene_context_ridge_residual,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.2970153093338012,0.0215417146682739,0.1985405683517456,0.1292247176170349,0.4921493411064148,-0.19513403177261357
gene_context_ridge_residual,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.4913603663444519,0.0241544768214225,0.2104940265417099,0.0894510149955749,0.7573366045951844,-0.26597623825073247
gene_context_ridge_residual,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,0.3310735821723938,0.0098009128123521,0.6849982738494873,0.0800879001617431,0.8686555206775666,-0.5375819385051728
gene_context_ridge_residual,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.1442485451698303,0.0071555138565599,0.5241971611976624,0.0585376620292663,0.43938708305358887,-0.29513853788375854
gene_context_ridge_residual,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,0.2923322319984436,0.0142590906471014,0.4994517266750335,0.0937166810035705,0.8789913177490234,-0.5866590857505798
