clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
2249,18,4.0,6.0,2.0,undiff,0.3712323266379903,0.3712323266379903,2,2,0.0714285714285714,,0.3095434291474398,14,2,18,-0.8905359426604469,-2.14125323023874,-0.8905359426604469,1.0,0.29367806775469835,1492.8906241775683,2.386852530953748,0.35264270989176955
2250,5,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.9709505944517833,2,2,5,-2.4679648582001104,-3.388143204243884,-2.4679648582001104,0.9999999999999998,0.32902846891981213,1140.2374881731328,3.5917504445485995,0.2467535295010613
2255,20,2.0,6.0,4.0,undiff,0.4138168503007484,0.4138168503007484,2,2,0.08333333333333337,,0.3589962496437996,12,2,20,-1.5496372104578762,-4.27987503215785,-1.5496372104578762,1.0,0.2711062818725246,1113.725169143635,4.201106441162883,-0.03985277222571267
2256,112,4.0,6.0,2.0,Mast,0.5506360289866714,0.5506360289866714,3,3,0.2471910112359551,,0.5204566632882002,89,2,112,-0.6473864342881515,-5.000686394111864,-0.6473864342881515,1.0,0.26268416539789635,656.7398133863036,5.045278404621952,-0.023405724916717413
2257,5,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.7219280948844771,2,2,5,-3.6346067602639307,-5.9384497002887064,-3.6346067602639307,1.0,0.1364605441921431,2035.5021010031128,6.193913265048287,0.07971905659959969
2258,6,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.6500224216454689,2,2,6,-3.3170889985198744,-5.903621500253405,-3.3170889985198744,1.0,0.17088526908780768,1463.6631712642102,6.198344862782481,0.08096894908951746
2259,7,4.0,6.0,2.0,Monocyte,0.0,0.0,1,1,0.0,,0.0,3,2,7,-1.2746410033385582,-4.280771583531709,-1.2746410033385582,1.0,0.13179311042987368,4453.603734589852,4.42753564994655,0.0027131759443894893
2263,6,2.0,6.0,4.0,undiff,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9182958340516042,3,2,6,-1.4499553436138737,-3.803817147741055,-1.4499553436138737,1.0,0.29926172964830916,616.5329183211389,4.12393617498131,0.33528804385525507
2265,5,4.0,4.0,0.0,undiff,0.0,0.0,1,1,0.0,,0.0,5,2,5,-2.207297357290446,-2.329203192647019,-2.207297357290446,0.9999999999999998,0.308525438917901,16.825905402447766,2.0079164030499923,0.6035598048576969
2266,5,4.0,4.0,0.0,Monocyte,0.0,0.0,1,1,0.0,,0.0,5,2,5,-1.1143302344902666,-4.895512158462504,-1.1143302344902666,0.9999999999999998,0.24546716722189146,22.90275563413612,5.0426127944750245,0.08488459129225742
2267,5,2.0,2.0,0.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,5,2,5,-1.5756572518685605,-3.867017483948325,-1.5756572518685605,0.9999999999999998,0.4912158827448736,1.683654168405749,3.195628271553414,-0.24677686292641746
2268,18,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.5032583347727604,16,2,18,-0.8100924415765927,-2.6822900220190022,-0.8100924415765927,1.0,0.2565123546565771,3205.9280733455607,2.819440600739812,-0.05580643660293375
227,13,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.0,10,2,2,-2.1589194053777376,-2.0721511830113575,-2.1589194053777376,0.9999999999999998,0.49125767861304714,3.904079665705615,2.9553837436324377,0.2263598260224634
2272,29,4.0,6.0,2.0,undiff,0.9703599343892952,0.9703599343892952,3,3,0.6086956521739131,,0.9167871516128097,23,2,29,-0.8318034415717391,-2.3867867914615806,-0.8318034415717391,1.0,0.29376387430142253,1507.0069206497094,2.644952093181766,0.1939144393950422
2273,10,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.0,4,2,10,-1.3520506422143526,-2.1070190456352247,-1.3520506422143526,0.9999999999999998,0.26467588455361113,1383.7642895296692,2.1612762859262897,0.4859810206087138
2274,13,4.0,6.0,2.0,Lymphoid,0.46899559358639586,0.46899559358639586,2,2,0.09999999999999998,,0.7793498372891997,10,2,13,-0.7659880519540543,-5.062268737924806,-0.7659880519540543,1.0,0.2650112797096614,1832.9609128922737,5.115757998311237,0.23828663778483636
